time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/entropy_loss,train/explained_variance,train/std,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate
30,563200,167,181.69,1,-1.0661175015554172,0.01756602,0.014704142771661282,2.7902516603469847,0.8904858827590942,0.060034215450286865,0.2,0.2081245668232441,1059,-0.008121225433424115,0.008945241570472717,0.0003
28,568320,179,181.78,1,-0.8400886099231155,0.014867143,0.024689578916877508,2.785217660665512,0.8116075992584229,0.060225725173950195,0.2,0.14632826540619134,1069,-0.014565112825948745,0.011743294075131416,0.0003
23,573440,222,179.58,1,-0.5949726022463452,0.016402105,0.015010390914976596,2.7795580577850343,0.9123446345329285,0.06033748388290405,0.2,0.1685439118742943,1079,-0.010817787302657962,0.006260375492274761,0.0003
16,578560,307,175.94,1,-0.6280899466594676,0.01940091,0.013177154194563627,2.775833611488342,0.8723288774490356,0.060491062700748444,0.2,0.2171485660970211,1089,-0.014145466643385588,0.006671627517789602,0.0003
18,583680,272,176.32,1,-0.8323134490684422,0.014560245,0.021957714091986418,2.7741685009002683,0.8845024108886719,0.060366079211235046,0.2,0.15859096065163614,1099,-0.01035389075812418,0.00970991887152195,0.0003
20,588800,253,171.95,1,-0.8703808675316624,0.012352377,0.03547133975662291,2.7743658125400543,0.71077561378479,0.06060083955526352,0.2,0.16896128840744495,1109,-0.010700568521860987,0.018950674682855606,0.0003
22,593920,232,168.72,1,-0.928183113616797,0.019201428,0.03398853275924921,2.767031021118164,0.739521861076355,0.060691192746162415,0.2,0.209740788936615,1119,-0.0076460390398278835,0.020047975704073906,0.0003
23,599040,215,171.71,1,-1.0157322385868635,0.01216234,0.026016990020871163,2.7646973276138307,0.8768622875213623,0.060833919793367386,0.2,0.15280658215284348,1129,-0.013092142221867107,0.005523814354091883,0.0003
27,604160,185,169.01,1,-0.9662601261693533,0.013166711,0.0269916208460927,2.7577682018280028,0.8918014764785767,0.06111956015229225,0.2,0.1857408867776394,1139,-0.007971256827004254,0.0003423360176384449,0.0003
27,609280,186,170.89,1,-0.9037201457587642,0.030740002,0.02291017582640052,2.750269527435303,0.8885345458984375,0.06117090582847595,0.2,0.21712454974651338,1149,-0.011853624165523798,0.007885811850428581,0.0003
