time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/loss,train/learning_rate
1,340,15,189440,169.34,-0.9642406114372281,0.830642819404602,-0.01244272937765345,0.010225448,3.023524659872055,345,0.022607310302555562,0.15171740520745516,0.053488824516534805,0.2,0.01991468295454979,0.0003
1,281,18,194560,171.36,-1.0693253788924602,0.8821058869361877,-0.012328179492615164,0.02346329,3.015113844871521,355,0.021192692667245865,0.19087220579385758,0.05364483967423439,0.2,-0.005098985508084297,0.0003
1,308,16,199680,172.31,-0.9238482810820726,0.8078863024711609,-0.008422268303111196,0.015676215,3.014055724143982,365,0.02481057431548834,0.1803951321542263,0.053572990000247955,0.2,0.04629598185420036,0.0003
1,324,15,204800,173.27,-0.8347737359726404,0.8757245540618896,-0.012473943631630392,0.012022207,3.010050880908966,375,0.0167327283648774,0.13910312633961439,0.053932711482048035,0.2,0.023407578468322754,0.0003
1,326,15,209920,174.59,-0.9185699383042447,0.8548115491867065,-0.0166685173753649,0.015080425,3.0007609724998474,385,0.016374676092527806,0.16004416141659022,0.05391059070825577,0.2,0.016377858817577362,0.0003
1,327,15,215040,173.06,-0.8566615603470873,0.8235048651695251,-0.01159007713140454,0.014079481,3.000267767906189,395,0.032163216220214966,0.14580038320273161,0.05411780625581741,0.2,0.02091268263757229,0.0003
1,297,17,220160,172.13,-0.7511230553345976,0.838595449924469,-0.01075813330244273,0.02665269,2.9939635944366456,405,0.032160871215164664,0.20291406329721212,0.05411296337842941,0.2,0.006396847777068615,0.0003
1,332,15,225280,171.46,-0.8652553675370096,0.919975996017456,-0.009253222082043067,0.011949932,2.9974014937877653,415,0.015497644152492284,0.15625751428306103,0.05401821434497833,0.2,0.015825899317860603,0.0003
1,351,14,230400,173.0,-0.9457528729698865,0.8586267232894897,-0.011079149423167109,0.014480673,3.0011969327926638,425,0.022028211653232575,0.18355342775583267,0.05395102873444557,0.2,0.02058245800435543,0.0003
1,304,16,235520,169.47,-0.8851192613277918,0.8725440502166748,-0.009777281610877254,0.011115552,3.0012897193431853,435,0.02880066926591098,0.14441285524517297,0.05393998324871063,0.2,0.016963403671979904,0.0003
1,271,18,240640,169.59,-0.9431672197818907,0.889938473701477,-0.006647797458572313,0.0122142825,3.001862132549286,445,0.014727953402325512,0.16607566643506289,0.053984135389328,0.2,0.020307406783103943,0.0003
1,317,16,245760,171.03,-0.8714808591717759,0.7563413381576538,-0.01075937196437735,0.014045207,2.9987920999526976,455,0.029744909098371863,0.1414281867444515,0.05402664840221405,0.2,0.008736745454370975,0.0003
1,349,14,250880,171.23,-0.8225305781521355,0.765745997428894,-0.013074532191967591,0.019823406,2.995134630203247,465,0.02591694800183177,0.17118316978216172,0.054236091673374176,0.2,0.011755446903407574,0.0003
1,316,16,256000,168.79,-0.6543428815108462,0.8835896253585815,-0.012175025389296934,0.014896123,2.989127206802368,475,0.012884128512814641,0.16174822598695754,0.05430319160223007,0.2,0.017062809318304062,0.0003
1,306,16,261120,170.77,-0.6713057994137211,0.7870033979415894,-0.011927124694921076,0.013036005,2.990773159265518,485,0.016687833867035807,0.1490496102720499,0.054181139916181564,0.2,0.021330831572413445,0.0003
1,277,18,266240,170.34,-0.8977063778921719,0.7867080569267273,-0.013268193708790932,0.010662297,2.9901410937309265,495,0.022920132940635086,0.12190489005297422,0.05441133677959442,0.2,0.008157389238476753,0.0003
1,359,14,271360,171.94,-0.9031585840717541,0.7480823993682861,-0.012576327816350385,0.013600022,2.9781391441822054,505,0.0397304302547127,0.1735595703125,0.054763540625572205,0.2,0.017260655760765076,0.0003
1,295,17,276480,174.31,-1.2898404878886862,0.8555346131324768,-0.011151917293900623,0.017203985,2.965227484703064,515,0.02576488994061947,0.15303906232118605,0.055103152990341187,0.2,0.02650240808725357,0.0003
1,310,16,281600,173.12,-1.5010659867218417,0.7826458215713501,-0.012901257190969772,0.012182943,2.956140422821045,525,0.05461259731091559,0.15104772746562958,0.05530739575624466,0.2,0.024716904386878014,0.0003
1,328,15,286720,174.7,-1.4156365278440717,0.8846829533576965,-0.015632166000432334,0.019337164,2.949893355369568,535,0.027200343599542976,0.15557189034298063,0.055366627871990204,0.2,0.02038484625518322,0.0003
1,355,14,291840,171.4,-1.0918965539370302,0.8925444483757019,-0.0023574584582820536,0.013163155,2.950210494995117,545,0.021091329120099544,0.19560763910412787,0.05539686232805252,0.2,0.008053350262343884,0.0003
1,343,14,296960,170.37,-0.96072504567579,0.866693377494812,-0.015643266681581735,0.0145348,2.9452230870723723,555,0.02081308071501553,0.16154019851237536,0.055592022836208344,0.2,0.01523861475288868,0.0003
1,320,15,302080,174.05,-0.8257201087654235,0.8644884824752808,-0.009982665933785028,0.012209713,2.944250077009201,565,0.030207208916544916,0.152629129961133,0.05538884550333023,0.2,0.01700771227478981,0.0003
1,373,13,307200,170.51,-0.6822273335406323,0.9344137907028198,-0.012101728923153133,0.014434783,2.9531017303466798,575,0.014379107728600501,0.15636126920580865,0.055177755653858185,0.2,0.00022476259618997574,0.0003
1,341,15,312320,171.63,-0.9058668790288226,0.9116544723510742,-0.010644384138286113,0.012727842,2.959835181236267,585,0.021334423907101153,0.1765773166716099,0.055040597915649414,0.2,0.01588313654065132,0.0003
1,351,14,317440,172.89,-0.9948842794498677,0.7879728078842163,-0.009919604282185902,0.012957027,2.9571488738059997,595,0.036511736502870915,0.16271153688430787,0.055286139249801636,0.2,0.020765993744134903,0.0003
1,336,15,322560,172.77,-0.9289622748051446,0.8756041526794434,-0.010669829807011411,0.014188859,2.946513521671295,605,0.03305272604338825,0.15472920956090092,0.05564609169960022,0.2,0.025389965623617172,0.0003
1,239,21,327680,174.46,-1.0441081403158017,0.9260578155517578,-0.016471296423696914,0.013140078,2.9356196582317353,615,0.01882067446131259,0.1488641319796443,0.05584654211997986,0.2,-0.0009211055003106594,0.0003
1,243,21,332800,172.19,-0.9221795424038187,0.9135072827339172,-0.01269778946065344,0.015602735,2.9328944301605224,625,0.015270537268370389,0.17819150984287263,0.05583058297634125,0.2,0.0025856695137917995,0.0003
