time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/loss,train/value_loss,train/std,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates
287,1,-88.70275716465225,193.33,358400,17,0.09415744212456048,3.0430415093898775,63.27098846435547,179.52838058471679,0.05273933708667755,0.9253644347190857,0.2,-0.008248508766700979,0.0003,0.00963055,671
275,1,-102.5926325406731,189.28,363520,18,0.1408408741815947,3.0488360047340395,27.247343063354492,97.68780460357667,0.05267808586359024,0.9108483791351318,0.2,-0.009343430851004086,0.0003,0.01466565,681
325,1,-101.17219854064325,193.08,368640,15,0.13281077705323696,3.0492779910564423,140.51316833496094,501.3480743408203,0.05268707126379013,0.8001870512962341,0.2,-0.002400220319395885,0.0003,0.007578878,691
392,1,-113.3853149141554,198.33,373760,13,0.13859726581722498,3.0445072650909424,54.33067321777344,178.54985580444335,0.052957795560359955,0.9255931973457336,0.2,-0.007339766828226857,0.0003,0.01651716,701
401,1,-103.27454015768147,197.3,378880,12,0.1420905183069408,3.0356049656867983,72.23065185546875,191.87871322631835,0.05308324471116066,0.9278393387794495,0.2,-0.005821164593362483,0.0003,0.01780171,711
381,1,-96.18011525682272,197.75,384000,13,0.1542925678193569,3.0317171931266786,145.6524200439453,385.66367225646974,0.05325976759195328,0.8463792204856873,0.2,-0.00352943492034683,0.0003,0.011844711,721
355,1,-111.70863708386143,197.81,389120,14,0.12861344942616093,3.0233892467286854,41.9741325378418,127.59643851386176,0.05347145348787308,0.9415717124938965,0.2,-0.004737891406572696,0.0003,0.030752428,730
426,1,-102.00217582648565,198.3,394240,11,0.09215584196150303,3.01678279876709,99.56746673583984,276.5962258911133,0.053606435656547546,0.8898290991783142,0.2,-0.0067635180431534535,0.0003,0.009730856,740
357,1,-114.53057498862444,201.14,399360,14,0.09167588284860055,3.0130510965983075,33.608375549316406,106.59858525594076,0.05366140604019165,0.8989136815071106,0.2,-0.004718538633702944,0.0003,0.009730707,750
329,1,-104.5447360461316,201.65,404480,15,0.11791151933372021,3.0101316213607787,61.13481140136719,271.24059463500976,0.053794704377651215,0.8921297192573547,0.2,-0.0016685648474958725,0.0003,0.008207733,760
336,1,-108.63055579876129,203.28,409600,15,0.15892438646405935,3.005849599838257,50.888160705566406,171.3556802749634,0.05380135774612427,0.925861656665802,0.2,-0.00011322077116346919,0.0003,0.015123155,770
333,1,-119.89135156958805,206.51,414720,15,0.11729452908039092,3.008802443742752,258.1194763183594,642.6663414001465,0.05370260775089264,0.8712056279182434,0.2,-0.00361847240710631,0.0003,0.009009308,780
289,1,-112.34772886508239,209.31,419840,17,0.08541803956031799,3.010320480664571,65.66419219970703,147.138916015625,0.05379293113946915,0.9566517472267151,0.2,-0.008081169261519488,0.0003,0.016368782,790
335,1,-105.48114974147553,214.9,424960,15,0.08472522259689867,3.0053265929222106,44.97098922729492,150.42864170074463,0.05386120080947876,0.9037160873413086,0.2,-0.006072134128771722,0.0003,0.01023241,800
389,1,-110.32296199231685,217.55,430080,13,0.12747309263795614,3.00693194270134,63.0750846862793,199.05437812805175,0.05375167727470398,0.9041027426719666,0.2,-0.0062695203658222455,0.0003,0.012898013,810
427,1,-110.4838222289369,219.32,435200,11,0.10775517979636788,3.0085830271244047,69.30559539794922,312.7775485992432,0.05381893366575241,0.9254899621009827,0.2,-0.006229619844816625,0.0003,0.010178575,820
356,1,-118.41086379427514,221.48,440320,14,0.18164698576385324,3.0068458716074624,48.116844177246094,185.92875879461116,0.0537683367729187,0.9219129681587219,0.2,0.0018826936174071197,0.0003,0.07107739,829
336,1,-117.27821807610616,224.91,445440,15,0.23354098945856094,3.0084656476974487,206.23980712890625,467.0418167114258,0.053766679018735886,0.8903380036354065,0.2,0.012571913888677955,0.0003,0.019783452,830
353,1,-118.05155075623287,230.42,450560,14,0.10408814949914813,3.0089149832725526,94.14729309082031,289.20064849853514,0.05373014509677887,0.8889501094818115,0.2,-0.0047451302991248666,0.0003,0.0089929355,840
343,1,-155.66656645957065,235.07,455680,14,0.07566835933054487,3.011119278271993,50.68373489379883,168.54249420166016,0.05365262180566788,0.9410567879676819,0.2,-0.006312209685953955,0.0003,0.0072321505,850
288,1,-168.15310962821434,237.39,460800,17,0.05709020090289414,3.013283097743988,351.8149719238281,988.3081665039062,0.05365569517016411,0.7512820959091187,0.2,-0.004035481793107465,0.0003,0.005583883,860
329,1,-165.09940129233183,243.62,465920,15,0.09357531597837805,3.0125007390975953,130.14295959472656,366.4319583129883,0.05365699902176857,0.892641007900238,0.2,-0.00626933011575602,0.0003,0.012848893,870
394,1,-168.74337392563314,245.62,471040,12,0.1705252505838871,3.0082933783531187,165.4395294189453,316.48821754455565,0.05398812144994736,0.9467276930809021,0.2,-0.006365336675662548,0.0003,0.016333751,880
436,1,-164.62684762084874,243.14,476160,11,0.0710270989065369,2.9973519722620647,131.8599853515625,341.9768361409505,0.05411148816347122,0.9240126609802246,0.2,-0.0011745297544014952,0.0003,0.0037365418,890
368,1,-158.75319174650068,241.65,481280,13,0.06427408878225833,2.994941163063049,88.8369140625,272.7624843597412,0.054162368178367615,0.916300892829895,0.2,-0.007018173608230427,0.0003,0.0096821245,900
408,1,-138.81865866138602,241.0,486400,12,0.083078928332543,2.9916356086730955,48.273311614990234,167.23180809020997,0.054317817091941833,0.917847752571106,0.2,-0.003644781139155384,0.0003,0.016279062,910
350,1,-110.16810295207365,243.67,491520,14,0.15306886564940214,2.987068974971771,50.12880325317383,141.35930881500244,0.05434153974056244,0.9555593132972717,0.2,-0.0027049726544646547,0.0003,0.009293459,920
396,1,-98.36928702100154,240.81,496640,12,0.1080955283716321,2.987916225194931,96.43571472167969,219.04715995788575,0.05432756245136261,0.9513084888458252,0.2,-0.007169555526343174,0.0003,0.013013652,930
290,1,-113.11176720091964,240.52,501760,17,0.11651289444416761,2.9890327394008636,70.5950927734375,219.26681022644044,0.054205797612667084,0.8387768268585205,0.2,-0.006846500779647613,0.0003,0.017927734,940
352,1,-113.6878153461597,239.6,506880,14,0.196875,2.9924658298492433,619.5675048828125,1048.5992431640625,0.054192252457141876,0.7368451952934265,0.2,0.010917224921286106,0.0003,0.022558982,941
301,1,-127.65233479032356,246.53,512000,16,0.07834931096682946,2.9935779333114625,138.7640838623047,428.04022216796875,0.054152000695466995,0.8681955337524414,0.2,-0.0033877155161462723,0.0003,0.0073754056,951
302,1,-129.75794048212336,251.17,517120,16,0.054155979631468655,2.994056576490402,101.69422912597656,380.841157913208,0.054205238819122314,0.8050166368484497,0.2,-0.0033083633161368198,0.0003,0.008515313,961
471,1,-150.34150214642528,254.02,522240,10,0.10822009682655334,2.988096933364868,55.2259635925293,238.15043685913085,0.05447583645582199,0.9318380355834961,0.2,-0.008337822011089884,0.0003,0.012360233,971
488,1,-158.59525168324888,248.87,527360,10,0.12828344907611608,2.98196827173233,53.415740966796875,213.28678436279296,0.05438971519470215,0.9049999713897705,0.2,-0.005677830394779449,0.0003,0.02374784,981
396,1,-152.21672769200796,249.62,532480,12,0.2714528203010559,2.985891580581665,151.56964111328125,323.2403198242188,0.054363373667001724,0.8691372871398926,0.2,0.012353683821856976,0.0003,0.04548287,983
359,1,-148.62812710078302,250.6,537600,14,0.1435371657833457,2.985207325220108,50.226253509521484,150.9502643585205,0.054513104259967804,0.8860635757446289,0.2,-0.007677445026638452,0.0003,0.017895719,993
346,1,-135.72240181786802,254.65,542720,14,0.1407848011702299,2.978567284345627,84.0247573852539,297.17687339782714,0.05459119379520416,0.8327656388282776,0.2,-0.0009698848389234627,0.0003,0.010466574,1003
357,1,-121.54431462590003,249.02,547840,14,0.14456020090729,2.9790177583694457,56.80561447143555,159.45505313873292,0.05450430512428284,0.9556436538696289,0.2,-0.00626892991567729,0.0003,0.01754018,1013
292,1,-127.1635191994838,249.31,552960,17,0.1794790397087733,2.9819523334503173,31.855243682861328,142.41820958455403,0.054465871304273605,0.84400475025177,0.2,0.0022802568040788175,0.0003,0.011609557,1023
333,1,-118.89458291586911,247.59,558080,15,0.10004839948378504,2.9838933897018434,88.3501968383789,289.6524411010742,0.0544009692966938,0.8691497445106506,0.2,-0.0061491040565306325,0.0003,0.011713879,1033
247,1,-131.51562359881288,254.4,563200,20,0.09802328211565813,2.985106285413106,59.29128646850586,203.10249557495118,0.054388001561164856,0.9323869943618774,0.2,-0.006792480001846949,0.0003,0.008462022,1043
202,1,-130.17754964478593,255.37,568320,25,0.09371680452798804,2.9859140396118162,123.50487518310547,637.36748046875,0.054374054074287415,0.5216474533081055,0.2,-0.001908556976801871,0.0003,0.00461027,1053
117,1,-136.98054549605965,257.59,573440,43,0.06251382559072226,2.9844356775283813,216.68551635742188,518.6552770996094,0.05451563745737076,0.7906557321548462,0.2,-0.004196518361568451,0.0003,0.0082195755,1063
162,1,-134.69446610727732,257.91,578560,31,0.09160671709105372,2.9784049868583677,51.66590881347656,214.6749408721924,0.054615605622529984,0.9024747014045715,0.2,-0.006194973870879039,0.0003,0.009791507,1073
179,1,-142.19162428657572,265.1,583680,28,0.22455495486364646,2.9756675608017864,145.1380157470703,348.34039575913374,0.054719407111406326,0.8456417322158813,0.2,-0.0027817370753516167,0.0003,0.04600677,1078
272,1,-138.21816296268125,263.22,588800,18,0.14860778407234213,2.9696071873540464,77.63908386230469,251.81188500445822,0.054859548807144165,0.8873096704483032,0.2,-0.003009034466231242,0.0003,0.057648502,1088
328,1,-129.1646618175407,261.95,593920,15,0.12123970994725823,2.9687487483024597,108.84051513671875,287.5334980010986,0.054807499051094055,0.8550810813903809,0.2,-0.0034900100028607993,0.0003,0.010821114,1098
281,1,-138.22206768472438,263.91,599040,18,0.11452938336879015,2.969734779993693,33.82669448852539,131.50419336954752,0.05485520139336586,0.8826538324356079,0.2,-0.00873634962675472,0.0003,0.015847784,1108
237,1,-126.85739941674721,263.19,604160,21,0.12110753741115332,2.9674611473083496,103.8502426147461,431.9261572265625,0.0548795647919178,0.7740420699119568,0.2,-0.0007273442670702934,0.0003,0.013234176,1118
261,1,-122.11559186352378,258.31,609280,19,0.12264151284471154,2.968151795864105,38.60445022583008,150.42152767181398,0.05479902774095535,0.9199652075767517,0.2,-0.0038081491083175934,0.0003,0.016478453,1128
