case,episode,agent,scenario_sha256,decision,start_seconds,terminal,heading_action,speed_action,critic_value,native_reward,reward_goal,reward_intrusion,reward_restricted,reward_outside,reward_drift,intrusion_seconds,intrusion_events,predicted_threats,earliest_predicted_entry_seconds
initial,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,5,25,0,0.0,0.0,1.0321526527404785,-3.5785514021936396e-10,0.0,-0.0,-0.0,-0.0,-3.5785514021936396e-10,0.0,0.0,0,
initial,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,6,30,0,0.0,0.0,0.09446051716804504,-0.00028342620524599,0.0,-0.0,-0.0,-0.0,-0.00028342620524599,0.0,0.0,0,
initial,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,6,30,0,0.0,0.0,0.1677587330341339,-2.54362969189467e-10,0.0,-0.0,-0.0,-0.0,-2.54362969189467e-10,0.0,0.0,0,
initial,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,6,30,0,0.0,0.0,0.4288861155509949,-0.001109285073328733,0.0,-0.0,-0.0,-0.0,-0.001109285073328733,0.0,0.0,0,
initial,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,6,30,0,0.0,0.0,0.6423104405403137,-0.0009615919412031405,0.0,-0.0,-0.0,-0.0,-0.0009615919412031405,0.0,0.0,1,84.6575698852539
initial,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,6,30,0,0.0,0.0,-0.21854069828987122,-3.303470126074714e-10,0.0,-0.0,-0.0,-0.0,-3.303470126074714e-10,0.0,0.0,0,
initial,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,6,30,0,0.0,0.0,1.0011227130889893,-0.00048088958541842145,0.0,-0.0,-0.0,-0.0,-0.00048088958541842145,0.0,0.0,0,
initial,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,6,30,0,0.0,0.0,0.2943878769874573,-2.761886205892151e-10,0.0,-0.0,-0.0,-0.0,-2.761886205892151e-10,0.0,0.0,1,84.6575698852539
initial,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,6,30,0,0.0,0.0,0.6357815861701965,-0.00031180252506707995,0.0,-0.0,-0.0,-0.0,-0.00031180252506707995,0.0,0.0,0,
initial,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,6,30,0,0.0,0.0,-0.23085786402225494,-1.8384853066247001e-10,0.0,-0.0,-0.0,-0.0,-1.8384853066247001e-10,0.0,0.0,0,
initial,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,6,30,0,0.0,0.0,1.0629295110702515,-3.558565259250992e-10,0.0,-0.0,-0.0,-0.0,-3.558565259250992e-10,0.0,0.0,0,
initial,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,7,35,0,0.0,0.0,0.10253435373306274,-0.00028522813682097073,0.0,-0.0,-0.0,-0.0,-0.00028522813682097073,0.0,0.0,0,
initial,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,7,35,0,0.0,0.0,0.165246844291687,-2.523420562839213e-10,0.0,-0.0,-0.0,-0.0,-2.523420562839213e-10,0.0,0.0,0,
initial,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,7,35,0,0.0,0.0,0.5701861381530762,-0.0012716374302400872,0.0,-0.0,-0.0,-0.0,-0.0012716374302400872,0.0,0.0,0,
initial,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,7,35,0,0.0,0.0,0.6440166234970093,-0.0009654752942616691,0.0,-0.0,-0.0,-0.0,-0.0009654752942616691,0.0,0.0,1,78.8701400756836
initial,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,7,35,0,0.0,0.0,-0.21574972569942474,-3.2799090332441706e-10,0.0,-0.0,-0.0,-0.0,-3.2799090332441706e-10,0.0,0.0,0,
initial,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,7,35,0,0.0,0.0,1.0073015689849854,-0.0004831688415282179,0.0,-0.0,-0.0,-0.0,-0.0004831688415282179,0.0,0.0,0,
initial,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,7,35,0,0.0,0.0,0.3124310076236725,-2.7341190763062336e-10,0.0,-0.0,-0.0,-0.0,-2.7341190763062336e-10,0.0,0.0,1,78.8701400756836
initial,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,7,35,0,0.0,0.0,0.6458598375320435,-0.0003132794957688009,0.0,-0.0,-0.0,-0.0,-0.0003132794957688009,0.0,0.0,0,
initial,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,7,35,0,0.0,0.0,-0.22236736118793488,-1.8219215452043933e-10,0.0,-0.0,-0.0,-0.0,-1.8219215452043933e-10,0.0,0.0,0,
initial,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,7,35,0,0.0,0.0,1.063515305519104,-3.5386119703993695e-10,0.0,-0.0,-0.0,-0.0,-3.5386119703993695e-10,0.0,0.0,0,
initial,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,8,40,0,0.0,0.0,0.11281436681747437,-0.00028705327989644007,0.0,-0.0,-0.0,-0.0,-0.00028705327989644007,0.0,0.0,0,
initial,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,8,40,0,0.0,0.0,0.16220951080322266,-2.5032018504854994e-10,0.0,-0.0,-0.0,-0.0,-2.5032018504854994e-10,0.0,0.0,0,
initial,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,8,40,0,0.0,0.0,0.553040623664856,-0.0013616005254808608,0.0,-0.0,-0.0,-0.0,-0.0013616005254808608,0.0,0.0,0,
initial,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,8,40,0,0.0,0.0,0.6475613713264465,-0.0009693821272810458,0.0,-0.0,-0.0,-0.0,-0.0009693821272810458,0.0,0.0,1,73.86835479736328
initial,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,8,40,0,0.0,0.0,-0.21234896779060364,-3.256334735162175e-10,0.0,-0.0,-0.0,-0.0,-3.256334735162175e-10,0.0,0.0,0,
initial,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,8,40,0,0.0,0.0,1.0116698741912842,-0.0004854687945001059,0.0,-0.0,-0.0,-0.0,-0.0004854687945001059,0.0,0.0,0,
initial,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,8,40,0,0.0,0.0,0.32205554842948914,-2.7063188874194785e-10,0.0,-0.0,-0.0,-0.0,-2.7063188874194785e-10,0.0,0.0,1,73.86835479736328
initial,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,8,40,0,0.0,0.0,0.6593067646026611,-0.0003147702203720346,0.0,-0.0,-0.0,-0.0,-0.0003147702203720346,0.0,0.0,0,
initial,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,8,40,0,0.0,0.0,-0.21442285180091858,-1.8053451941620722e-10,0.0,-0.0,-0.0,-0.0,-1.8053451941620722e-10,0.0,0.0,0,
initial,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,8,40,0,0.0,0.0,1.0633528232574463,-3.518691997360851e-10,0.0,-0.0,-0.0,-0.0,-3.518691997360851e-10,0.0,0.0,0,
initial,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,9,45,0,0.0,0.0,0.11687067151069641,-0.0002889020689529795,0.0,-0.0,-0.0,-0.0,-0.0002889020689529795,0.0,0.0,0,
initial,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,9,45,0,0.0,0.0,0.15930375456809998,-2.4829727442547687e-10,0.0,-0.0,-0.0,-0.0,-2.4829727442547687e-10,0.0,0.0,0,
initial,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,9,45,0,0.0,0.0,0.5381044149398804,-0.0013696069165110836,0.0,-0.0,-0.0,-0.0,-0.0013696069165110836,0.0,0.0,0,
initial,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,9,45,0,0.0,0.0,0.6483170390129089,-0.0009733125736771306,0.0,-0.0,-0.0,-0.0,-0.0009733125736771306,0.0,0.0,1,68.8666000366211
initial,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,9,45,0,0.0,0.0,0.0004717782139778137,-3.232746657241251e-10,0.0,-0.0,-0.0,-0.0,-3.232746657241251e-10,0.0,0.0,0,
initial,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,9,45,0,0.0,0.0,0.8654079437255859,-0.0004877897219984381,0.0,-0.0,-0.0,-0.0,-0.0004877897219984381,0.0,0.0,0,
initial,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,9,45,0,0.0,0.0,0.31729161739349365,-2.6784849107370484e-10,0.0,-0.0,-0.0,-0.0,-2.6784849107370484e-10,0.0,0.0,1,68.8666000366211
