case,episode,agent,scenario_sha256,decision,start_seconds,terminal,heading_action,speed_action,critic_value,native_reward,reward_goal,reward_intrusion,reward_restricted,reward_outside,reward_drift,intrusion_seconds,intrusion_events,predicted_threats,earliest_predicted_entry_seconds
std020,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,105,525,0,-0.034765321761369705,-0.03169088438153267,-0.13163457810878754,-5.757908000774881e-05,0.0,-0.0,-0.0,-0.0,-5.757908000774881e-05,0.0,0.0,0,
std020,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,105,525,0,-0.09756678342819214,-0.09343664348125458,-0.6069048047065735,-0.00039860136803833006,0.0,-0.0,-0.0,-0.0,-0.00039860136803833006,0.0,0.0,1,179.6339569091797
std020,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,105,525,0,-0.3121154010295868,-0.20067957043647766,-0.19573929905891418,-0.0005188238016061867,0.0,-0.0,-0.0,-0.0,-0.0005188238016061867,0.0,0.0,0,
std020,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,105,525,0,-0.2695278823375702,-0.014229950495064259,-0.45298928022384644,-0.00044089855835251896,0.0,-0.0,-0.0,-0.0,-0.00044089855835251896,0.0,0.0,1,179.6339569091797
std020,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,106,530,0,-0.3838644027709961,-0.26724186539649963,-0.25587067008018494,-0.0009975048676334783,0.0,-0.0,-0.0,-0.0,-0.0009975048676334783,0.0,0.0,0,
std020,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,106,530,0,-0.3859137296676636,-0.25606220960617065,-0.13322953879833221,-0.000633020799826571,0.0,-0.0,-0.0,-0.0,-0.000633020799826571,0.0,0.0,0,
std020,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,106,530,0,-0.1797168254852295,-0.1733156144618988,-0.3752446472644806,-0.0004806622706536877,0.0,-0.0,-0.0,-0.0,-0.0004806622706536877,0.0,0.0,0,
std020,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,106,530,0,-0.618537962436676,-0.2078099548816681,-0.1771213263273239,-0.0011169009389186445,0.0,-0.0,-0.0,-0.0,-0.0011169009389186445,0.0,0.0,0,
std020,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,106,530,0,-0.26909124851226807,-0.04843220114707947,-0.23000718653202057,-0.0004411874736339575,0.0,-0.0,-0.0,-0.0,-0.0004411874736339575,0.0,0.0,0,
std020,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,106,530,0,-0.05141641944646835,-0.41038525104522705,-0.38927361369132996,-7.153485588591066e-05,0.0,-0.0,-0.0,-0.0,-7.153485588591066e-05,0.0,0.0,0,
std020,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,106,530,0,-0.03698103129863739,-0.02920076996088028,-0.12580081820487976,-6.127087409447471e-05,0.0,-0.0,-0.0,-0.0,-6.127087409447471e-05,0.0,0.0,0,
std020,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,106,530,0,-0.09709721803665161,-0.0891856700181961,-0.6049641966819763,-0.00040159676435351277,0.0,-0.0,-0.0,-0.0,-0.00040159676435351277,0.0,0.0,1,178.2781524658203
std020,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,106,530,0,-0.3168618381023407,-0.2025742530822754,-0.1918436586856842,-0.0005268989013854327,0.0,-0.0,-0.0,-0.0,-0.0005268989013854327,0.0,0.0,0,
