case,episode,agent,decision,critic_value,discounted_realized_return,future_intrusion_delay_seconds,advantage_lambda_0.95,advantage_lambda_0.99,advantage_lambda_1.0
initial,0,KL001,171,0.399808794260025,-0.03665231463032243,30,-0.34555516083862875,-0.41675122667371156,-0.43646110889034745
initial,0,KL001,172,0.40152373909950256,-0.03678073569652596,25,-0.36534738288502416,-0.42275306444475336,-0.4383044747960285
initial,0,KL001,173,0.40333831310272217,-0.03690960671983002,20,-0.38635284575477075,-0.42893133434031316,-0.4402479198225522
initial,0,KL001,174,0.19781383872032166,-0.037038929276775066,15,-0.19028300873674575,-0.22575407259406977,-0.23485276799709673
initial,0,KL001,175,0.19830024242401123,-0.03716870494942479,10,-0.20078213282901639,-0.2286246184721928,-0.23546894737343602
initial,0,KL001,176,0.1987505555152893,-0.037298935325385404,5,-0.21183278092454313,-0.23149614244956174,-0.2360494908406747
initial,0,KL001,177,0.19913466274738312,-0.037429621997824826,0,-0.22343444756692635,-0.2343383661567202,-0.23656428474520794
initial,0,KL001,178,0.2010166049003601,0.009889798241516957,0,-0.18731680592369565,-0.1908010999763251,-0.19112680665884313
initial,0,KL001,179,0.20302030444145203,0.05737501457005381,0,-0.1492862524128325,-0.1467863050398751,-0.14564528987139821
initial,0,KL001,180,0.20481310784816742,0.10502660789819218,0,-0.10888444164789793,-0.1019510231985008,-0.09978649994997524
initial,0,KL001,181,0.20426629483699799,0.15284516117171423,0,-0.0637378446371997,-0.054134586760414716,-0.05142113366528375
initial,0,KL001,182,0.2034447193145752,0.20083125937891033,0,-0.015761395534910204,-0.0053903235661867804,-0.0026134599356648427
initial,0,KL001,183,0.20272721350193024,0.24898548955773725,0,0.034804498095696926,0.04391079085857992,0.04625827605580701
initial,0,KL001,184,0.20263513922691345,0.2973084408030022,0,0.08755725503069667,0.09325009226701036,0.09467330157608878
initial,0,KL001,185,0.2029811143875122,0.3458007042735742,0,0.14281958988606197,0.14281958988606197,0.14281958988606197
initial,0,KL002,0,0.13189396262168884,0.21834535628844431,,0.032694974915930784,-0.03370275863054225,0.08645139366675503
initial,0,KL002,1,0.1513371467590332,0.21911038692695978,,0.014556285898133108,-0.05333525650803299,0.06777324016792613
initial,0,KL002,2,0.16778895258903503,0.21987809805239433,,-0.0013834404884110335,-0.07014513820587943,0.05208914546335887
initial,0,KL002,3,0.1624043583869934,0.2206484990565421,,0.004825473039046596,-0.0650691142454944,0.05824414066954827
initial,0,KL002,4,0.164430171251297,0.22142159936410377,,0.0035637832302133575,-0.06742816905694568,0.05699142811280635
initial,0,KL002,5,0.16631820797920227,0.2221974084328019,,0.002383534424452648,-0.06967306428549845,0.05587920045359921
initial,0,KL002,6,0.1677587330341339,0.2229759357534967,,0.001614842623561645,-0.07148986620835442,0.05521720271936236
initial,0,KL002,7,0.165246844291687,0.2237571908503021,,0.0049686067727725495,-0.06933401419916771,0.058510346558614666
initial,0,KL002,8,0.16220951080322266,0.2245411832807023,,0.009055089539186349,-0.0666268937078192,0.06233167247747923
initial,0,KL002,9,0.15930375456809998,0.22532792263566864,,0.01322201741781779,-0.06402650355678983,0.06602416806756824
initial,0,KL002,10,0.15668922662734985,0.22611741853977702,,0.01730635260966426,-0.06169509757103969,0.06942819191242672
initial,0,KL002,11,0.3261988162994385,0.22690968065132547,,-0.1595722079829997,-0.23320388910606019,-0.09928913564811341
initial,0,KL002,12,0.3231058716773987,0.22770471866245257,,-0.16410046633545253,-0.23210617392703642,-0.09540115301494653
initial,0,KL002,13,0.3197772204875946,0.22850254229925573,,-0.1686470502118903,-0.2307663447014442,-0.09127467818833926
initial,0,KL002,14,0.31571200489997864,0.2293031613219104,,-0.17268664225935784,-0.2286760161557402,-0.08640884357806859
initial,0,KL002,15,0.3128514289855957,0.23010658552478935,,-0.17823677810705238,-0.22778837036382588,-0.08274484346080672
initial,0,KL002,16,0.310001403093338,0.23091282473658253,,-0.18412115181268213,-0.2269093975477677,-0.07908857835675584
initial,0,KL002,17,0.3071106970310211,0.23172188882041728,,-0.19030462214104016,-0.2259874310013502,-0.07538880821060417
initial,0,KL002,18,0.3041430115699768,0.23253378767397903,,-0.1967659744607794,-0.2249853623688749,-0.0716092238959981
initial,0,KL002,19,0.30115586519241333,0.23334853122963237,,-0.203581688700743,-0.22396047096366278,-0.0678073339627813
initial,0,KL002,20,0.4133272171020508,0.23416612945454254,,-0.3320117512680807,-0.3392538872875738,-0.17916108764750854
initial,0,KL002,21,0.1394324004650116,0.2349865923507974,,-0.060875815171784725,-0.06575710623169802,0.09555419188578547
initial,0,KL002,22,0.1366676688194275,0.23580992995552977,,-0.060879831342274086,-0.0633679128563516,0.09914226113610193
initial,0,KL002,23,0.13386714458465576,0.23663615234104013,,-0.06085659410091966,-0.06091976117253522,0.10276900775638403
initial,0,KL002,24,0.131028413772583,0.23746526961492,,-0.060802159511466766,-0.05840953528285977,0.10643685584233667
initial,0,KL002,25,0.1281493604183197,0.23829729192017554,,-0.060712684128011896,-0.05583438636561829,0.11014793150185552
initial,0,KL002,26,0.125227689743042,0.23913222943535156,,-0.06058392762158255,-0.05319125360929696,0.11390453969230926
initial,0,KL002,27,0.12226024270057678,0.2399700923746561,,-0.06041050955736755,-0.05047616957666251,0.11770984967407902
initial,0,KL002,28,0.11924350261688232,0.2408108909880854,,-0.0601863816765229,-0.04768476265406483,0.12156738837120278
initial,0,KL002,29,0.11617434024810791,0.24165463556154923,,-0.05990557587512327,-0.0448130053880031,0.12548029531344101
initial,0,KL002,30,0.1130484938621521,0.24250133641699678,,-0.05956060737540841,-0.0418556825371982,0.1294528425548444
initial,0,KL002,31,0.10986137390136719,0.2433510039125429,,-0.05914324049727468,-0.03880719166963327,0.13348963001117548
initial,0,KL002,32,0.1066083312034607,0.24420364844259493,,-0.05864472991450989,-0.035661809971637065,0.13759531723913396
initial,0,KL002,33,0.23379653692245483,0.2450592804379796,,-0.19543671840407204,-0.1642438745551512,0.011262743515524488
initial,0,KL002,34,0.2311645746231079,0.24591791036607089,,-0.20281089720533582,-0.1629981981086259,0.014753335742962705
initial,0,KL002,35,0.22842776775360107,0.24677954873091798,,-0.2104997323524762,-0.1616389417470448,0.018351780977316618
