time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/std,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/n_updates,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
23,430080,221,1,0.675184965133667,-0.002252499426394934,0.01817713452503085,0.6494510173797607,0.0003,0.2,246.74937438964844,-1.972869508266449,71.5645523071289,830,0.003434324,-447.0875053635692,588.62
17,435200,288,1,0.9192747473716736,-0.003400863856077194,0.0419921875,0.6499290466308594,0.0003,0.2,45.080232582092286,-1.9733713102340698,14.623371124267578,840,0.005914886,-441.18496413597745,588.62
19,440320,259,1,0.869550347328186,-0.0009872554382309318,0.0026953125,0.6515294313430786,0.0003,0.2,337.52101318359377,-1.9758573627471925,132.75991821289062,850,0.002515201,-441.18496413597745,588.62
18,445440,279,1,0.5321423411369324,-0.0015984726115129888,0.014453125,0.65229332447052,0.0003,0.2,452.6343664550781,-1.9803588390350342,164.59385681152344,860,0.0036612458,-474.23895761917714,588.62
18,450560,274,1,0.909047544002533,-0.002614964474923909,0.02904296875,0.6539598703384399,0.0003,0.2,172.109708404541,-1.983156807422638,63.973018646240234,870,0.0051386557,-474.23895761917714,588.62
18,455680,269,1,0.8593595623970032,-0.005062193321064115,0.053203125,0.6511781811714172,0.0003,0.2,78.34760124206542,-1.9833141160011292,28.570865631103516,880,0.007200096,-474.23895761917714,588.62
20,460800,251,1,0.5842189192771912,-0.0007533941557630896,0.01193359375,0.6505928635597229,0.0003,0.2,347.89723724365234,-1.9769592189788818,107.81050109863281,890,0.005270249,-464.91150217462257,593.2
17,465920,287,1,0.566207230091095,-0.0014043641812168063,0.0073828125,0.6507142186164856,0.0003,0.2,519.9044616699218,-1.9764026713371277,172.07408142089844,900,0.0027146903,-464.91150217462257,593.2
18,471040,276,1,0.5825287699699402,-0.0021659717801958325,0.01603515625,0.6507366895675659,0.0003,0.2,654.3188726806641,-1.9769727349281312,226.732177734375,910,0.0057060337,-500.5295075552904,595.5
19,476160,269,1,0.7874616980552673,-0.002327209264039993,0.0215234375,0.6520305871963501,0.0003,0.2,533.8251239013672,-1.9782739400863647,234.29861450195312,920,0.0033604898,-500.5295075552904,595.5
