time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,train/entropy_loss,train/approx_kl
133120,-1.3605856659025415,1,98,206.26,26,-0.014290466229431332,0.04988899081945419,3e-05,0.03942996263504028,0.09157370898872613,0.817656397819519,0.2,0.05680584669113159,510,3.1585354137420656,0.009971382
135680,-1.346006024255673,1,93,205.01,27,-0.011182717792689801,0.04990244656801224,3e-05,0.0750175192952156,0.08984375052154064,0.6283156871795654,0.2,0.027058295290917158,520,3.1576474046707155,0.0111846
138240,-0.8895354800669507,1,85,198.16,29,-0.019847358654563624,0.049885109066963196,3e-05,0.01263043750077486,0.1161836093912522,0.8163663148880005,0.2,0.0344409399976333,530,3.1577128171920776,0.01573239
140800,-0.3323872673214258,1,91,192.34,27,-0.014276559196878225,0.049875520169734955,3e-05,0.05566532909870148,0.10213460973463953,0.7468061447143555,0.2,0.12906421665102244,540,3.158461356163025,0.009976268
143360,-0.3535771953256363,1,87,193.51,29,-0.01138562822889071,0.04987740516662598,3e-05,0.031722281128168106,0.08403320303186775,0.6092870235443115,0.2,0.04064899925142527,550,3.158564901351929,0.008781467
145920,-0.45096427436117154,1,301,198.3,8,-0.010733776143752038,0.04986730217933655,3e-05,0.03311677277088165,0.1309022483229637,0.8268948197364807,0.2,0.0452201284468174,560,3.1587109899520875,0.010547523
148480,-0.5271343639629216,1,157,200.94,16,-0.007387532001303043,0.04984871670603752,3e-05,0.08930417895317078,0.057144915126264094,0.8400685787200928,0.2,0.17380932942032815,570,3.159155797958374,0.008218652
151040,-0.72044187691536,1,160,206.4,15,-0.016484866722021253,0.0498264878988266,3e-05,0.0283629409968853,0.090810910705477,0.8341258764266968,0.2,0.06849162308499217,580,3.160198760032654,0.009945453
153600,-1.074295207601504,1,183,217.26,13,-0.012366383746848442,0.0498371347784996,3e-05,0.04853252321481705,0.06840370139107108,0.8004195094108582,0.2,0.1439205814152956,590,3.16042760014534,0.008917896
156160,-1.0549385040315469,1,439,218.46,5,-0.010844076937064528,0.049843646585941315,3e-05,0.02370327152311802,0.0866738281212747,0.8095370531082153,0.2,0.0352570831310004,600,3.15994017124176,0.0104578035
158720,-1.0594508192755367,1,341,222.02,7,-0.014562931132968516,0.049837641417980194,3e-05,0.02160625346004963,0.11522163739427924,0.7525148391723633,0.2,0.07647163923829794,610,3.1599233508110047,0.012553685
161280,-1.1310134815763573,1,139,223.87,18,-0.009249925618496491,0.049834851175546646,3e-05,0.057829856872558594,0.13159293234348296,0.842279314994812,0.2,0.049987250007689,620,3.1602171659469604,0.015277201
